Model,RMSE,RMSE_CI_95,MAE,MAPE (%),R2,Directional Acc %,DirAcc CI 95%,IC (Spearman),P-Value,DM-stat,DM p-val,Sig (p<0.05),test_start
W24,0.01125,"[0.008998,0.013328]",0.008337,132.407227,-0.0099,53.97,"[41.8,65.7]",,0.9217,-0.068,0.5271,❌ No,2017-10
W27,0.016772,"[0.012839,0.020361]",0.012389,142.768466,-0.0083,44.26,"[32.5,56.7]",,0.2554,-1.151,0.8751,❌ No,2018-01
W30,0.0133,"[0.009856,0.016478]",0.009538,106.03357,-0.0054,53.12,"[41.1,64.8]",,0.8994,0.396,0.346,❌ No,2018-04
W33,0.01306,"[0.009653,0.016944]",0.009366,138.649667,-0.018,65.08,"[52.8,75.7]",,0.0412,1.863,0.0312,✅ Yes,2018-07
W36,0.026229,"[0.021718,0.030701]",0.020696,104.755644,-0.0812,42.86,"[31.4,55.1]",,0.1409,-1.381,0.9164,❌ No,2018-10
W39,0.020911,"[0.012287,0.030475]",0.012856,94.264869,-0.0149,65.57,"[53.0,76.3]",,0.0336,2.318,0.0102,✅ Yes,2019-01
W42,0.016285,"[0.012247,0.020246]",0.01187,120.577079,-0.0003,49.21,"[37.3,61.2]",,0.6997,-0.514,0.6964,❌ No,2019-04
W45,0.01655,"[0.012798,0.020106]",0.012466,137.926586,-0.0037,54.69,"[42.6,66.3]",,0.4588,0.514,0.3036,❌ No,2019-07
W48,0.012011,"[0.009881,0.013995]",0.009354,116.472754,-0.1095,64.06,"[51.8,74.7]",,0.0453,2.024,0.0215,✅ Yes,2019-10
W51,0.042245,"[0.031611,0.052338]",0.029333,110.9165,-0.0124,43.55,"[31.9,55.9]",,0.3498,-1.228,0.8903,❌ No,2020-01
W54,0.021153,"[0.015990,0.026642]",0.016124,98.178929,-0.0881,63.49,"[51.1,74.3]",0.0165,0.0817,1.664,0.048,❌ No,2020-04
W57,0.027904,"[0.020859,0.034537]",0.020226,100.764021,-0.008,59.38,"[47.1,70.5]",0.0355,0.2526,1.347,0.0889,❌ No,2020-07
W60,0.021642,"[0.017459,0.025827]",0.016258,156.309138,0.0046,48.44,"[36.6,60.4]",0.1452,0.9946,-0.362,0.6413,❌ No,2020-10
W63,0.02075,"[0.017087,0.024029]",0.016302,108.276684,-0.0245,47.54,"[35.5,59.8]",,0.346,-0.944,0.8273,❌ No,2021-01
W66,0.013126,"[0.010944,0.015365]",0.010569,138.953546,0.003,53.97,"[41.8,65.7]",0.0238,0.682,0.451,0.3259,❌ No,2021-04
W69,0.012996,"[0.010644,0.015273]",0.010123,113.406014,-0.0083,54.69,"[42.6,66.3]",0.0802,0.7952,0.322,0.3737,❌ No,2021-07
W72,0.01528,"[0.012413,0.017901]",0.011777,151.243353,-0.0234,57.81,"[45.6,69.1]",-0.0017,0.5638,0.748,0.2272,❌ No,2021-10
W75,0.018728,"[0.015377,0.022580]",0.014987,128.370694,-0.0155,45.16,"[33.4,57.5]",-0.0538,0.0978,-1.286,0.9009,❌ No,2022-01
W78,0.026294,"[0.022264,0.030562]",0.021054,107.631717,-0.0505,48.39,"[36.4,60.6]",,0.3981,-0.484,0.6857,❌ No,2022-04
W81,0.019447,"[0.015810,0.023439]",0.01511,105.001264,-0.0005,48.44,"[36.6,60.4]",,0.4825,-0.413,0.66,❌ No,2022-07
W84,0.025212,"[0.019406,0.031157]",0.019058,100.218352,-0.0096,44.44,"[32.8,56.7]",,0.3778,-0.88,0.8107,❌ No,2022-10
W87,0.014913,"[0.012586,0.017154]",0.012503,100.191476,-0.1078,35.48,"[24.7,47.9]",,0.0223,-2.37,0.9911,✅ Yes,2023-01
W90,0.011541,"[0.008345,0.014809]",0.008276,126.593178,-0.0241,50.0,"[37.9,62.1]",,0.7984,-0.26,0.6026,❌ No,2023-04
W93,0.013713,"[0.010278,0.017137]",0.010157,95.74266,-0.0289,55.56,"[43.3,67.2]",,0.3828,0.756,0.2249,❌ No,2023-07
W96,0.010728,"[0.008467,0.013188]",0.008323,105.190731,-0.0038,53.97,"[41.8,65.7]",,0.9268,0.627,0.2654,❌ No,2023-10
W99,0.01253,"[0.009660,0.015324]",0.009746,100.31838,-0.0142,39.34,"[28.1,51.9]",,0.096,-1.69,0.9544,❌ No,2024-01
W102,0.017473,"[0.012080,0.022900]",0.012286,101.304638,-0.0525,36.51,"[25.7,48.9]",,0.0418,-2.207,0.9863,✅ Yes,2024-04
W105,0.01473,"[0.011327,0.017766]",0.010559,98.23286,-0.0002,62.5,"[50.3,73.3]",,0.1027,1.722,0.0426,❌ No,2024-07
W108,0.010989,"[0.009196,0.012749]",0.008648,109.076376,-0.0005,59.38,"[47.1,70.5]",,0.1738,1.231,0.1092,❌ No,2024-10
W111,0.018131,"[0.014420,0.021713]",0.013748,118.976772,-0.0246,48.33,"[36.2,60.7]",,0.7034,-0.288,0.6135,❌ No,2025-01
W114,0.030972,"[0.019826,0.041685]",0.01882,99.161561,-0.0032,53.23,"[41.0,65.1]",,0.7989,0.42,0.3373,❌ No,2025-04
W117,0.015541,"[0.011691,0.019136]",0.010783,99.779762,-0.0406,53.12,"[41.1,64.8]",,0.6171,0.497,0.3096,❌ No,2025-07
W120,0.010855,"[0.007916,0.013776]",0.007603,114.335881,-0.0002,54.69,"[42.6,66.3]",,0.8773,0.488,0.3127,❌ No,2025-10
W123,0.015767,"[0.012151,0.019349]",0.011368,113.781041,-0.012,49.18,"[37.1,61.4]",,0.9874,-0.186,0.5738,❌ No,2026-01
